start time = Fri Nov 22 08:15:58 2019
Source: file:///fsx/files/
Dest:   ftp://172.31.21.192:50505/home/ubuntu/
  large_file_0  ->  large_file

      1048576 bytes         0.36 MB/sec avg         0.36 MB/sec inst
    104857600 bytes        26.69 MB/sec avg        99.00 MB/sec inst
    221249536 bytes        44.45 MB/sec avg       111.00 MB/sec inst
    337641472 bytes        56.03 MB/sec avg       111.00 MB/sec inst
    454033408 bytes        64.18 MB/sec avg       111.00 MB/sec inst
    570425344 bytes        70.22 MB/sec avg       111.00 MB/sec inst
    686817280 bytes        74.88 MB/sec avg       111.00 MB/sec inst
    803209216 bytes        78.59 MB/sec avg       111.00 MB/sec inst
    918552576 bytes        81.51 MB/sec avg       110.00 MB/sec inst
   1034944512 bytes        84.02 MB/sec avg       111.00 MB/sec inst
   1151336448 bytes        86.14 MB/sec avg       111.00 MB/sec inst
   1265631232 bytes        87.80 MB/sec avg       109.00 MB/sec inst
   1379926016 bytes        89.24 MB/sec avg       109.00 MB/sec inst
   1493172224 bytes        90.43 MB/sec avg       108.00 MB/sec inst
   1611661312 bytes        91.78 MB/sec avg       113.00 MB/sec inst
   1727004672 bytes        92.29 MB/sec avg       100.00 MB/sec inst
   1844445184 bytes        93.33 MB/sec avg       112.00 MB/sec inst
   1960837120 bytes        94.22 MB/sec avg       111.00 MB/sec inst
   2078277632 bytes        95.07 MB/sec avg       112.00 MB/sec inst
   2193620992 bytes        95.76 MB/sec avg       110.00 MB/sec inst
   2308964352 bytes        96.38 MB/sec avg       110.00 MB/sec inst
   2426404864 bytes        97.04 MB/sec avg       112.00 MB/sec inst
   2543845376 bytes        97.64 MB/sec avg       112.00 MB/sec inst
   2661285888 bytes        98.19 MB/sec avg       112.00 MB/sec inst
   2776629248 bytes        98.63 MB/sec avg       110.00 MB/sec inst
   2895118336 bytes        99.15 MB/sec avg       113.00 MB/sec inst
   3012558848 bytes        99.60 MB/sec avg       112.00 MB/sec inst
   3128950784 bytes        99.98 MB/sec avg       111.00 MB/sec inst
   3244294144 bytes       100.30 MB/sec avg       110.00 MB/sec inst
   3362783232 bytes       100.70 MB/sec avg       113.00 MB/sec inst
   3480223744 bytes       101.04 MB/sec avg       112.00 MB/sec inst
   3595567104 bytes       101.01 MB/sec avg       100.00 MB/sec inst
   3714056192 bytes       101.35 MB/sec avg       113.00 MB/sec inst
   3830448128 bytes       101.62 MB/sec avg       111.00 MB/sec inst
   3948937216 bytes       101.93 MB/sec avg       113.00 MB/sec inst
   4068474880 bytes       102.25 MB/sec avg       114.00 MB/sec inst
   4186963968 bytes       102.52 MB/sec avg       113.00 MB/sec inst
   4302307328 bytes       102.71 MB/sec avg       110.00 MB/sec inst
   4420796416 bytes       102.96 MB/sec avg       113.00 MB/sec inst
   4537188352 bytes       103.15 MB/sec avg       111.00 MB/sec inst
   4653580288 bytes       103.34 MB/sec avg       111.00 MB/sec inst
   4771020800 bytes       103.53 MB/sec avg       112.00 MB/sec inst
   4888461312 bytes       103.72 MB/sec avg       112.00 MB/sec inst
   5007998976 bytes       103.72 MB/sec avg       103.64 MB/sec inst
   5124390912 bytes       103.88 MB/sec avg       111.00 MB/sec inst
   5243928576 bytes       104.09 MB/sec avg       114.00 MB/sec inst
   5364514816 bytes       104.31 MB/sec avg       115.00 MB/sec inst
   5481955328 bytes       104.46 MB/sec avg       112.00 MB/sec inst
   5599395840 bytes       104.61 MB/sec avg       112.00 MB/sec inst
   5715787776 bytes       104.73 MB/sec avg       111.00 MB/sec inst
   5834276864 bytes       104.89 MB/sec avg       113.00 MB/sec inst
   5950668800 bytes       105.00 MB/sec avg       111.00 MB/sec inst
   6068109312 bytes       105.13 MB/sec avg       112.00 MB/sec inst
   6184501248 bytes       105.05 MB/sec avg       100.91 MB/sec inst
   6301941760 bytes       105.17 MB/sec avg       112.00 MB/sec inst
   6418333696 bytes       105.27 MB/sec avg       111.00 MB/sec inst
   6536822784 bytes       105.40 MB/sec avg       113.00 MB/sec inst
   6652166144 bytes       105.48 MB/sec avg       110.00 MB/sec inst
   6768558080 bytes       105.57 MB/sec avg       111.00 MB/sec inst
   6884950016 bytes       105.65 MB/sec avg       111.00 MB/sec inst
   7000293376 bytes       105.72 MB/sec avg       110.00 MB/sec inst
   7117733888 bytes       105.82 MB/sec avg       112.00 MB/sec inst
   7235174400 bytes       105.91 MB/sec avg       112.00 MB/sec inst
   7351566336 bytes       105.99 MB/sec avg       111.00 MB/sec inst
   7466909696 bytes       106.05 MB/sec avg       110.00 MB/sec inst
   7586447360 bytes       106.17 MB/sec avg       114.00 MB/sec inst
   7703887872 bytes       106.25 MB/sec avg       112.00 MB/sec inst
   7821328384 bytes       106.33 MB/sec avg       112.00 MB/sec inst
   7937720320 bytes       106.40 MB/sec avg       111.00 MB/sec inst
   8059355136 bytes       106.53 MB/sec avg       116.00 MB/sec inst
   8178892800 bytes       106.49 MB/sec avg       103.64 MB/sec inst
   8294236160 bytes       106.54 MB/sec avg       110.00 MB/sec inst
   8407482368 bytes       106.56 MB/sec avg       108.00 MB/sec inst
   8527020032 bytes       106.65 MB/sec avg       114.00 MB/sec inst
   8643411968 bytes       106.71 MB/sec avg       111.00 MB/sec inst
   8760852480 bytes       106.78 MB/sec avg       112.00 MB/sec inst
   8879341568 bytes       106.86 MB/sec avg       113.00 MB/sec inst
   8997830656 bytes       106.93 MB/sec avg       113.00 MB/sec inst
   9114222592 bytes       106.98 MB/sec avg       111.00 MB/sec inst
   9231663104 bytes       107.04 MB/sec avg       112.00 MB/sec inst
   9348055040 bytes       107.09 MB/sec avg       111.00 MB/sec inst
   9462349824 bytes       107.11 MB/sec avg       109.00 MB/sec inst
   9580838912 bytes       107.18 MB/sec avg       113.00 MB/sec inst
   9697230848 bytes       107.23 MB/sec avg       111.00 MB/sec inst
   9812574208 bytes       107.26 MB/sec avg       110.00 MB/sec inst
   9928966144 bytes       107.30 MB/sec avg       111.00 MB/sec inst
  10045358080 bytes       107.22 MB/sec avg       100.91 MB/sec inst
  10157555712 bytes       107.22 MB/sec avg       107.00 MB/sec inst
  10276044800 bytes       107.28 MB/sec avg       113.00 MB/sec inst
  10396631040 bytes       107.37 MB/sec avg       115.00 MB/sec inst
  10516168704 bytes       107.44 MB/sec avg       114.00 MB/sec inst
  10634657792 bytes       107.50 MB/sec avg       113.00 MB/sec inst
  10746855424 bytes       107.49 MB/sec avg       107.00 MB/sec inst
  10863247360 bytes       107.53 MB/sec avg       111.00 MB/sec inst
  10979639296 bytes       107.56 MB/sec avg       111.00 MB/sec inst
  11097079808 bytes       107.61 MB/sec avg       112.00 MB/sec inst
  11213471744 bytes       107.64 MB/sec avg       111.00 MB/sec inst
  11329863680 bytes       107.68 MB/sec avg       111.00 MB/sec inst
  11448352768 bytes       107.62 MB/sec avg       102.73 MB/sec inst
  11564744704 bytes       107.66 MB/sec avg       111.00 MB/sec inst
  11682185216 bytes       107.70 MB/sec avg       112.00 MB/sec inst
  11800674304 bytes       107.75 MB/sec avg       113.00 MB/sec inst
  11919163392 bytes       107.80 MB/sec avg       113.00 MB/sec inst
  12036603904 bytes       107.84 MB/sec avg       112.00 MB/sec inst
  12152995840 bytes       107.87 MB/sec avg       111.00 MB/sec inst
  12270436352 bytes       107.91 MB/sec avg       112.00 MB/sec inst
  12386828288 bytes       107.93 MB/sec avg       111.00 MB/sec inst
  12503220224 bytes       107.96 MB/sec avg       111.00 MB/sec inst
  12621709312 bytes       108.01 MB/sec avg       113.00 MB/sec inst
  12738101248 bytes       108.03 MB/sec avg       111.00 MB/sec inst
  12855541760 bytes       108.07 MB/sec avg       112.00 MB/sec inst
  12972982272 bytes       108.01 MB/sec avg       101.82 MB/sec inst
  13091471360 bytes       108.05 MB/sec avg       113.00 MB/sec inst
  13209960448 bytes       108.09 MB/sec avg       113.00 MB/sec inst
  13327400960 bytes       108.13 MB/sec avg       112.00 MB/sec inst
  13445890048 bytes       108.17 MB/sec avg       113.00 MB/sec inst
  13562281984 bytes       108.19 MB/sec avg       111.00 MB/sec inst
  13678673920 bytes       108.22 MB/sec avg       111.00 MB/sec inst
  13798211584 bytes       108.26 MB/sec avg       114.00 MB/sec inst
  13913554944 bytes       108.28 MB/sec avg       110.00 MB/sec inst
  14027849728 bytes       108.28 MB/sec avg       109.00 MB/sec inst
  14149484544 bytes       108.34 MB/sec avg       116.00 MB/sec inst
  14264827904 bytes       108.36 MB/sec avg       110.00 MB/sec inst
  14381219840 bytes       108.38 MB/sec avg       111.00 MB/sec inst
  14495514624 bytes       108.38 MB/sec avg       109.00 MB/sec inst
  14611906560 bytes       108.40 MB/sec avg       111.00 MB/sec inst
  14730395648 bytes       108.36 MB/sec avg       102.73 MB/sec inst
  14846787584 bytes       108.38 MB/sec avg       111.00 MB/sec inst
  14965276672 bytes       108.41 MB/sec avg       113.00 MB/sec inst
  15084814336 bytes       108.45 MB/sec avg       114.00 MB/sec inst
  15201206272 bytes       108.47 MB/sec avg       111.00 MB/sec inst
  15319695360 bytes       108.51 MB/sec avg       113.00 MB/sec inst
  15435038720 bytes       108.52 MB/sec avg       110.00 MB/sec inst
  15551430656 bytes       108.54 MB/sec avg       111.00 MB/sec inst
  15669919744 bytes       108.57 MB/sec avg       113.00 MB/sec inst
  15784214528 bytes       108.57 MB/sec avg       109.00 MB/sec inst
  15902703616 bytes       108.60 MB/sec avg       113.00 MB/sec inst
  16019095552 bytes       108.62 MB/sec avg       111.00 MB/sec inst
  16134438912 bytes       108.55 MB/sec avg       100.00 MB/sec inst
  16248733696 bytes       108.56 MB/sec avg       109.00 MB/sec inst
  16366174208 bytes       108.58 MB/sec avg       112.00 MB/sec inst
  16483614720 bytes       108.60 MB/sec avg       112.00 MB/sec inst
  16598958080 bytes       108.61 MB/sec avg       110.00 MB/sec inst
  16718495744 bytes       108.65 MB/sec avg       114.00 MB/sec inst
  16835936256 bytes       108.67 MB/sec avg       112.00 MB/sec inst
  16950231040 bytes       108.67 MB/sec avg       109.00 MB/sec inst
